DATA_TIME,vehicleState,runModel,chargeState,speed,gear,distance,SOC,totalVoltage,totalCurrent,lon,lat,maxTemperature,minTemperature,maxBatteryVoltage,minBatteryVoltage
2020-03-26 14:24:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.0,1.7,113.062991,27.830385,-39.0,-39.0,0.256,0.256
2020-03-26 14:24:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.7,113.062983,27.830391,-39.0,-39.0,0.256,0.256
2020-03-26 14:24:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.6,113.062968,27.830385,-39.0,-39.0,0.256,0.256
2020-03-26 14:24:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.0,1.6,113.062971,27.830386,-39.0,-39.0,0.256,0.256
2020-03-26 14:25:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.6,113.062986,27.830381,-39.0,-39.0,0.256,0.256
2020-03-26 14:25:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.6,113.06303,27.830368,-39.0,-39.0,0.256,0.256
2020-03-26 14:25:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.0,1.6,113.063053,27.830363,-39.0,-39.0,0.256,0.256
2020-03-26 14:25:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.0,1.6,113.063048,27.83035,-39.0,-39.0,0.256,0.256
2020-03-26 14:25:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.1,1.6,113.063038,27.830343,-39.0,-39.0,0.256,0.256
2020-03-26 14:25:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.0,1.6,113.063036,27.830335,-39.0,-39.0,0.256,0.256
2020-03-26 14:26:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.0,1.6,113.063031,27.830335,-39.0,-39.0,0.256,0.256
2020-03-26 14:26:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.0,1.6,113.063018,27.83034,-39.0,-39.0,0.256,0.256
2020-03-26 14:26:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.0,1.6,113.063008,27.830338,-39.0,-39.0,0.256,0.256
2020-03-26 14:26:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.0,1.6,113.062998,27.830338,-39.0,-39.0,0.256,0.256
2020-03-26 14:26:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,540.0,2.2,113.06299,27.83033,-39.0,-39.0,0.256,0.256
2020-03-26 14:26:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.9,2.4,113.062996,27.830356,-39.0,-39.0,0.256,0.256
2020-03-26 14:27:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.9,2.6,113.063,27.830366,-39.0,-39.0,0.256,0.256
2020-03-26 14:27:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.9,2.6,113.063026,27.830371,-39.0,-39.0,0.256,0.256
2020-03-26 14:27:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.9,2.8,113.06303,27.830386,-39.0,-39.0,0.256,0.256
2020-03-26 14:27:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.8,2.8,113.063036,27.830396,-39.0,-39.0,0.256,0.256
2020-03-26 14:27:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.8,2.7,113.063045,27.830391,-39.0,-39.0,0.256,0.256
2020-03-26 14:27:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.9,2.8,113.063031,27.830393,-39.0,-39.0,0.256,0.256
2020-03-26 14:28:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.8,2.8,113.063028,27.830401,-39.0,-39.0,0.256,0.256
2020-03-26 14:28:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.8,2.8,113.063025,27.830405,-39.0,-39.0,0.256,0.256
2020-03-26 14:28:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.9,2.8,113.063028,27.830401,-39.0,-39.0,0.256,0.256
2020-03-26 14:28:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.8,2.8,113.063031,27.830396,-39.0,-39.0,0.256,0.256
2020-03-26 14:28:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.8,2.8,113.063051,27.830395,-39.0,-39.0,0.256,0.256
2020-03-26 14:28:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.8,2.8,113.063051,27.830401,-39.0,-39.0,0.256,0.256
2020-03-26 14:29:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.8,2.8,113.06305,27.830411,-39.0,-39.0,0.256,0.256
2020-03-26 14:29:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.8,2.8,113.063055,27.830423,-39.0,-39.0,0.256,0.256
2020-03-26 14:29:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.7,2.8,113.063055,27.830428,-39.0,-39.0,0.256,0.256
2020-03-26 14:29:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.8,2.8,113.063063,27.830428,-39.0,-39.0,0.256,0.256
2020-03-26 14:29:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.8,2.7,113.063073,27.830425,-39.0,-39.0,0.256,0.256
2020-03-26 14:29:55,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.7,2.8,113.063088,27.830416,-39.0,-39.0,0.256,0.256
2020-03-26 14:30:05,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.7,2.8,113.063103,27.830408,-39.0,-39.0,0.256,0.256
2020-03-26 14:30:15,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.7,2.8,113.06311,27.830396,-39.0,-39.0,0.256,0.256
2020-03-26 14:30:25,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.7,2.8,113.063113,27.83039,-39.0,-39.0,0.256,0.256
2020-03-26 14:30:35,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.7,2.8,113.063108,27.830393,-39.0,-39.0,0.256,0.256
2020-03-26 14:30:45,1.0,1.0,3.0,0.0,14.0,2.0,99.0,539.7,2.7,113.063103,27.830395,-39.0,-39.0,0.256,0.256
